source_file,list_name,flow_uuid,flow_name,context,unit,cas_number,synonyms
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Propanol,air/lower stratosphere + upper troposphere,kg,,"Isopropanol, Isopropyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Propanol,air/non-urban air or from high stacks,kg,,"Isopropanol, Isopropyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Propanol,air/unspecified,kg,,"Isopropanol, Isopropyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Propanol,air/urban air close to ground,kg,,
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Propanol,water/ground-,kg,,"Isopropanol, Isopropyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Propanol,"water/ground-, long-term",kg,,"Isopropanol, Isopropyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Propanol,water/ocean,kg,,"Isopropanol, Isopropyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Propanol,water/surface water,kg,,"Isopropanol, Isopropyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Propanol,water/unspecified,kg,,"Isopropanol, Isopropyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,3-Methyl-1-butanol,"air/low population density, long-term",kg,,isoamyl alcohol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,3-Methyl-1-butanol,air/lower stratosphere + upper troposphere,kg,,isoamyl alcohol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,3-Methyl-1-butanol,air/non-urban air or from high stacks,kg,,Isopentyl alcohol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,3-Methyl-1-butanol,air/unspecified,kg,,Isopentyl alcohol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,3-Methyl-1-butanol,air/urban air close to ground,kg,,Isopentyl alcohol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,3-Methyl-1-butanol,water/ground-,kg,,"isoamyl alcohol, Isopentyl alcohol"
